decoding,alpha,t0,frac_masked,frac_correct,frac_errors
fair,0.05,0.0,0.0,1.0,0.0
fair,0.05,0.02,0.01953125,1.0,0.0
fair,0.05,0.04,0.0400390625,1.0,0.0
fair,0.05,0.06,0.0595703125,1.0,0.0
fair,0.05,0.08,0.080078125,1.0,0.0
fair,0.05,0.1,0.099609375,1.0,0.0
fair,0.05,0.12,0.1201171875,1.0,0.0
fair,0.05,0.14,0.1396484375,1.0,0.0
fair,0.05,0.16,0.16015625,1.0,0.0
fair,0.05,0.18,0.1796875,1.0,0.0
fair,0.05,0.2,0.2001953125,1.0,0.0
fair,0.05,0.22,0.2197265625,1.0,0.0
fair,0.05,0.24,0.240234375,1.0,0.0
fair,0.05,0.26,0.259765625,1.0,0.0
fair,0.05,0.28,0.2802734375,1.0,0.0
fair,0.05,0.3,0.2998046875,1.0,0.0
fair,0.05,0.32,0.3203125,1.0,0.0
fair,0.05,0.34,0.33984375,0.9999902248382568,9.765624781721272e-06
fair,0.05,0.36,0.3603515625,1.0,0.0
fair,0.05,0.38,0.3798828125,1.0,0.0
fair,0.05,0.4,0.400390625,0.9999706745147705,2.9296874345163815e-05
fair,0.05,0.42,0.419921875,0.9999804496765137,1.9531249563442543e-05
fair,0.05,0.44,0.4404296875,0.9999902248382568,9.765624781721272e-06
fair,0.05,0.46,0.4599609375,0.9999804496765137,1.9531249563442543e-05
fair,0.05,0.48,0.48046875,0.9999316334724426,6.83593752910383e-05
fair,0.05,0.5,0.5,0.9998340010643005,0.00016601562674622983
fair,0.05,0.52,0.51953125,0.9998340010643005,0.00016601562674622983
fair,0.05,0.54,0.5400390625,0.9997265338897705,0.0002734375011641532
fair,0.05,0.56,0.5595703125,0.9995214939117432,0.00047851563431322575
fair,0.05,0.58,0.580078125,0.9992382526397705,0.0007617187220603228
fair,0.05,0.6,0.599609375,0.9989843964576721,0.001015624962747097
fair,0.05,0.62,0.6201171875,0.9980078339576721,0.001992187462747097
fair,0.05,0.64,0.6396484375,0.9975195527076721,0.002480468712747097
fair,0.05,0.66,0.66015625,0.99658203125,0.00341796875
fair,0.05,0.68,0.6796875,0.9953808784484863,0.0046191406436264515
fair,0.05,0.7000000000000001,0.7001953125,0.993408203125,0.006591796875
fair,0.05,0.72,0.7197265625,0.990527331829071,0.009472656063735485
fair,0.05,0.74,0.740234375,0.9870800971984863,0.012919921427965164
fair,0.05,0.76,0.759765625,0.9800195097923279,0.01998046785593033
fair,0.05,0.78,0.7802734375,0.9751757979393005,0.024824218824505806
fair,0.05,0.8,0.7998046875,0.9652148485183716,0.034785155206918716
fair,0.05,0.8200000000000001,0.8203125,0.9521093964576721,0.04789062589406967
fair,0.05,0.84,0.83984375,0.9408203363418579,0.05917968600988388
fair,0.05,0.86,0.8603515625,0.9203515648841858,0.07964843511581421
fair,0.05,0.88,0.8798828125,0.8937011957168579,0.10629882663488388
