decoding,alpha,t0,frac_masked,frac_correct,frac_errors
greedy,0.05,0.0,0.0,1.0,0.0
greedy,0.05,0.02,0.01953125,1.0,0.0
greedy,0.05,0.04,0.0400390625,1.0,0.0
greedy,0.05,0.06,0.0595703125,1.0,0.0
greedy,0.05,0.08,0.080078125,1.0,0.0
greedy,0.05,0.1,0.099609375,1.0,0.0
greedy,0.05,0.12,0.1201171875,0.9999980330467224,1.9531250927684596e-06
greedy,0.05,0.14,0.1396484375,0.9999990463256836,9.765625463842298e-07
greedy,0.05,0.16,0.16015625,0.9999990463256836,9.765625463842298e-07
greedy,0.05,0.18,0.1796875,0.999997079372406,2.9296875254658516e-06
greedy,0.05,0.2,0.2001953125,0.999994158744812,5.859375050931703e-06
greedy,0.05,0.22,0.2197265625,0.9999960660934448,3.906250185536919e-06
greedy,0.05,0.24,0.240234375,0.9999921917915344,7.812500371073838e-06
greedy,0.05,0.26,0.259765625,0.999991238117218,8.789062121650204e-06
greedy,0.05,0.28,0.2802734375,0.9999863505363464,1.3671875422005542e-05
greedy,0.05,0.3,0.2998046875,0.9999804496765137,1.9531249563442543e-05
greedy,0.05,0.32,0.3203125,0.9999677538871765,3.222656232537702e-05
greedy,0.05,0.34,0.33984375,0.9999706745147705,2.9296874345163815e-05
greedy,0.05,0.36,0.3603515625,0.9999579787254333,4.199218892608769e-05
greedy,0.05,0.38,0.3798828125,0.9999521374702454,4.785156124853529e-05
greedy,0.05,0.4,0.400390625,0.9999179840087891,8.203124889405444e-05
greedy,0.05,0.42,0.419921875,0.9999111294746399,8.886718569556251e-05
greedy,0.05,0.44,0.4404296875,0.9998574256896973,0.0001425781229045242
greedy,0.05,0.46,0.4599609375,0.9998066425323486,0.0001933593739522621
greedy,0.05,0.48,0.48046875,0.9997441172599792,0.0002558593696448952
greedy,0.05,0.5,0.5,0.9996894598007202,0.00031054686405695975
greedy,0.05,0.52,0.51953125,0.9996582269668579,0.0003417968691792339
greedy,0.05,0.54,0.5400390625,0.9994707107543945,0.0005292968708090484
greedy,0.05,0.56,0.5595703125,0.9993066191673279,0.0006933593540452421
greedy,0.05,0.58,0.580078125,0.9991152286529541,0.0008847656426951289
greedy,0.05,0.6,0.599609375,0.9988154172897339,0.0011845703702419996
greedy,0.05,0.62,0.6201171875,0.9985224604606628,0.001477539073675871
greedy,0.05,0.64,0.6396484375,0.9979814291000366,0.002018554601818323
greedy,0.05,0.66,0.66015625,0.997552752494812,0.0024472656659781933
greedy,0.05,0.68,0.6796875,0.9965722560882568,0.0034277343656867743
greedy,0.05,0.7000000000000001,0.7001953125,0.9956484436988831,0.004351562354713678
greedy,0.05,0.72,0.7197265625,0.9943056702613831,0.005694335792213678
greedy,0.05,0.74,0.740234375,0.9924648404121399,0.007535156328231096
greedy,0.05,0.76,0.759765625,0.9898525476455688,0.010147460736334324
greedy,0.05,0.78,0.7802734375,0.9870741963386536,0.012925781309604645
greedy,0.05,0.8,0.7998046875,0.9827109575271606,0.017289062961935997
greedy,0.05,0.8200000000000001,0.8203125,0.9778525233268738,0.022147461771965027
greedy,0.05,0.84,0.83984375,0.9704462885856628,0.029553711414337158
greedy,0.05,0.86,0.8603515625,0.9616659879684448,0.03833398595452309
greedy,0.05,0.88,0.8798828125,0.948495090007782,0.05150488391518593
greedy,0.05,0.9,0.900390625,0.9318681359291077,0.06813183426856995
greedy,0.05,0.92,0.919921875,0.9084599614143372,0.09154003858566284
greedy,0.05,0.9400000000000001,0.9404296875,0.8731533288955688,0.12684668600559235
greedy,0.05,0.96,0.9599609375,0.8249179720878601,0.1750820279121399
greedy,0.05,0.98,0.98046875,0.7418017387390137,0.25819823145866394
greedy,0.05,1.0,1.0,0.49977147579193115,0.5002285242080688
greedy,0.1,0.0,0.0,1.0,0.0
greedy,0.1,0.02,0.01953125,0.9999902248382568,9.765624781721272e-06
greedy,0.1,0.04,0.0400390625,0.999954104423523,4.5898435928393155e-05
greedy,0.1,0.06,0.0595703125,0.999951183795929,4.882812572759576e-05
greedy,0.1,0.08,0.080078125,0.9999336004257202,6.640625360887498e-05
greedy,0.1,0.1,0.099609375,0.9998779296875,0.0001220703125
greedy,0.1,0.12,0.1201171875,0.9998213052749634,0.0001787109358701855
greedy,0.1,0.14,0.1396484375,0.9998095631599426,0.0001904296805150807
greedy,0.1,0.16,0.16015625,0.9997265338897705,0.0002734375011641532
greedy,0.1,0.18,0.1796875,0.9996171593666077,0.0003828124899882823
greedy,0.1,0.2,0.2001953125,0.9995957016944885,0.00040429687942378223
greedy,0.1,0.22,0.2197265625,0.9994902610778809,0.0005097656394354999
greedy,0.1,0.24,0.240234375,0.9993388652801514,0.0006611327989958227
greedy,0.1,0.26,0.259765625,0.9991904497146606,0.0008095703087747097
greedy,0.1,0.28,0.2802734375,0.9990488290786743,0.0009511718526482582
greedy,0.1,0.3,0.2998046875,0.9989082217216492,0.0010917969048023224
greedy,0.1,0.32,0.3203125,0.9986865520477295,0.0013134765904396772
greedy,0.1,0.34,0.33984375,0.9983779191970825,0.001622070325538516
greedy,0.1,0.36,0.3603515625,0.9980517625808716,0.0019482421921566129
greedy,0.1,0.38,0.3798828125,0.9978144764900208,0.0021855467930436134
greedy,0.1,0.4,0.400390625,0.9974345564842224,0.0025654297787696123
greedy,0.1,0.42,0.419921875,0.9968535304069519,0.003146484261378646
greedy,0.1,0.44,0.4404296875,0.9962372779846191,0.003762695239856839
greedy,0.1,0.46,0.4599609375,0.9955341815948486,0.004465820267796516
greedy,0.1,0.48,0.48046875,0.9949091672897339,0.005090820137411356
greedy,0.1,0.5,0.5,0.9940351843833923,0.0059648435562849045
greedy,0.1,0.52,0.51953125,0.9930781126022339,0.006921874824911356
greedy,0.1,0.54,0.5400390625,0.9916982650756836,0.008301758207380772
greedy,0.1,0.56,0.5595703125,0.9901796579360962,0.009820312261581421
greedy,0.1,0.58,0.580078125,0.988693356513977,0.011306640692055225
greedy,0.1,0.6,0.599609375,0.9869492053985596,0.013050781562924385
greedy,0.1,0.62,0.6201171875,0.9848398566246033,0.015160156413912773
greedy,0.1,0.64,0.6396484375,0.9819931387901306,0.018006835132837296
greedy,0.1,0.66,0.66015625,0.9792978763580322,0.020702147856354713
greedy,0.1,0.68,0.6796875,0.9757353663444519,0.02426464855670929
greedy,0.1,0.7000000000000001,0.7001953125,0.9718788862228394,0.028121093288064003
greedy,0.1,0.72,0.7197265625,0.9666464924812317,0.03335351496934891
greedy,0.1,0.74,0.740234375,0.9611933827400208,0.03880663961172104
greedy,0.1,0.76,0.759765625,0.9546923637390137,0.045307617634534836
greedy,0.1,0.78,0.7802734375,0.9471631050109863,0.052836913615465164
greedy,0.1,0.8,0.7998046875,0.9390019774436951,0.06099804863333702
greedy,0.1,0.8200000000000001,0.8203125,0.9271806478500366,0.07281933724880219
greedy,0.1,0.84,0.83984375,0.9146396517753601,0.08536034822463989
greedy,0.1,0.86,0.8603515625,0.8992451429367065,0.10075487941503525
greedy,0.1,0.88,0.8798828125,0.881765604019165,0.11823437362909317
greedy,0.1,0.9,0.900390625,0.8585068583488464,0.14149317145347595
greedy,0.1,0.92,0.919921875,0.8309941291809082,0.1690058559179306
greedy,0.1,0.9400000000000001,0.9404296875,0.7936816215515137,0.20631836354732513
greedy,0.1,0.96,0.9599609375,0.7479550838470459,0.2520449161529541
greedy,0.1,0.98,0.98046875,0.6776279211044312,0.32237207889556885
greedy,0.1,1.0,1.0,0.5013251900672913,0.49867480993270874
greedy,0.2,0.0,0.0,1.0,0.0
greedy,0.2,0.02,0.01953125,0.9997685551643372,0.00023144531587604433
greedy,0.2,0.04,0.0400390625,0.9994306564331055,0.0005693359416909516
greedy,0.2,0.06,0.0595703125,0.9991259574890137,0.0008740234188735485
greedy,0.2,0.08,0.080078125,0.9987285137176514,0.0012714844197034836
greedy,0.2,0.1,0.099609375,0.9982802867889404,0.0017197265988215804
greedy,0.2,0.12,0.1201171875,0.9979296922683716,0.002070312388241291
greedy,0.2,0.14,0.1396484375,0.9974677562713623,0.002532226499170065
greedy,0.2,0.16,0.16015625,0.9968798756599426,0.0031201171223074198
greedy,0.2,0.18,0.1796875,0.9963173866271973,0.003682617098093033
greedy,0.2,0.2,0.2001953125,0.9954960942268372,0.004503906238824129
greedy,0.2,0.22,0.2197265625,0.9948681592941284,0.005131836049258709
