decoding,alpha,t0,frac_masked,frac_correct,frac_errors
greedy,0.1,0.0,0.0,1.0,0.0
greedy,0.1,0.02,0.01953125,1.0,0.0
greedy,0.1,0.04,0.0400390625,1.0,0.0
greedy,0.1,0.06,0.0595703125,1.0,0.0
greedy,0.1,0.08,0.080078125,1.0,0.0
greedy,0.1,0.1,0.099609375,1.0,0.0
greedy,0.1,0.12,0.1201171875,1.0,0.0
greedy,0.1,0.14,0.1396484375,1.0,0.0
greedy,0.1,0.16,0.16015625,1.0,0.0
greedy,0.1,0.18,0.1796875,1.0,0.0
greedy,0.1,0.2,0.2001953125,1.0,0.0
greedy,0.1,0.22,0.2197265625,0.9999990463256836,9.765625463842298e-07
greedy,0.1,0.24,0.240234375,1.0,0.0
greedy,0.1,0.26,0.259765625,1.0,0.0
greedy,0.1,0.28,0.2802734375,1.0,0.0
greedy,0.1,0.3,0.2998046875,0.9999990463256836,9.765625463842298e-07
greedy,0.1,0.32,0.3203125,0.9999960660934448,3.906250185536919e-06
greedy,0.1,0.34,0.33984375,0.9999921917915344,7.812500371073838e-06
greedy,0.1,0.36,0.3603515625,0.9999785423278809,2.1484374883584678e-05
greedy,0.1,0.38,0.3798828125,0.9999404549598694,5.95703131693881e-05
greedy,0.1,0.4,0.400390625,0.9999120831489563,8.789062849245965e-05
greedy,0.1,0.42,0.419921875,0.9998779296875,0.0001220703125
greedy,0.1,0.44,0.4404296875,0.9997656345367432,0.00023437499476131052
greedy,0.1,0.46,0.4599609375,0.9995986223220825,0.00040136720053851604
greedy,0.1,0.48,0.48046875,0.9993525147438049,0.0006474609253928065
greedy,0.1,0.5,0.5,0.9991161823272705,0.0008837890345603228
greedy,0.1,0.52,0.51953125,0.9987978339195251,0.0012021483853459358
greedy,0.1,0.54,0.5400390625,0.998239278793335,0.001760742161422968
greedy,0.1,0.56,0.5595703125,0.9975927472114563,0.0024072264786809683
greedy,0.1,0.58,0.580078125,0.9965947270393372,0.003405273426324129
greedy,0.1,0.6,0.599609375,0.995486319065094,0.004513672087341547
greedy,0.1,0.62,0.6201171875,0.994091808795929,0.005908203311264515
greedy,0.1,0.64,0.6396484375,0.9918105602264404,0.008189452812075615
greedy,0.1,0.66,0.66015625,0.9898076057434082,0.010192383080720901
greedy,0.1,0.68,0.6796875,0.9866308569908142,0.013369140215218067
greedy,0.1,0.7000000000000001,0.7001953125,0.9831064343452454,0.016893554478883743
greedy,0.1,0.72,0.7197265625,0.9778125286102295,0.022187499329447746
greedy,0.1,0.74,0.740234375,0.9725341796875,0.0274658203125
greedy,0.1,0.76,0.759765625,0.9657490253448486,0.034250978380441666
greedy,0.1,0.78,0.7802734375,0.9574863314628601,0.04251367226243019
greedy,0.1,0.8,0.7998046875,0.9474081993103027,0.05259179696440697
greedy,0.1,0.8200000000000001,0.8203125,0.935177743434906,0.06482226401567459
greedy,0.1,0.84,0.83984375,0.9217314720153809,0.07826855778694153
greedy,0.1,0.86,0.8603515625,0.9046503901481628,0.09534960985183716
greedy,0.1,0.88,0.8798828125,0.8835625052452087,0.11643750220537186
greedy,0.1,0.9,0.900390625,0.8565058708190918,0.1434941440820694
greedy,0.1,0.92,0.919921875,0.8272148370742798,0.17278516292572021
greedy,0.1,0.9400000000000001,0.9404296875,0.7864355444908142,0.2135644555091858
greedy,0.1,0.96,0.9599609375,0.7361269593238831,0.26387304067611694
greedy,0.1,0.98,0.98046875,0.6606073975563049,0.3393925726413727
greedy,0.1,1.0,1.0,0.5246953368186951,0.4753046929836273
