experiment,repeat,seed,dataset_seed,training_objective,sample_k,D,gamma,N,alpha,M_train,M_test,alpha_code,kappa,K_visible_expected,t_mask_val,n_mmd_samples,num_steps,train_loss,test_loss,loss_gap,abs_loss_gap,train_acc,test_acc,mmd_biased_multiscale,mmd2_biased_multiscale,mmd2_unbiased_multiscale_raw,baseline_mmd_biased_multiscale,baseline_mmd2_biased_multiscale,baseline_mmd2_unbiased_multiscale_raw,train_true_mmd_biased_multiscale,train_true_mmd2_biased_multiscale,train_true_mmd2_unbiased_multiscale_raw,model_train_mmd_biased_multiscale,model_train_mmd2_biased_multiscale,model_train_mmd2_unbiased_multiscale_raw,nearest_train_q1_mean,nearest_train_q1_std,nearest_train_q2_mean,nearest_train_q1_q2_gap_mean,corr_relerr_model_true,corr_relerr_fresh_true,train_empirical_mmd_biased_multiscale,mmd_biased_lambda_0_5,mmd2_biased_lambda_0_5,mmd2_unbiased_lambda_0_5_raw,baseline_mmd_biased_lambda_0_5,baseline_mmd2_biased_lambda_0_5,baseline_mmd2_unbiased_lambda_0_5_raw,model_train_mmd_biased_lambda_0_5,model_train_mmd2_biased_lambda_0_5,model_train_mmd2_unbiased_lambda_0_5_raw,train_true_mmd_biased_lambda_0_5,train_true_mmd2_biased_lambda_0_5,train_true_mmd2_unbiased_lambda_0_5_raw,train_mmd_biased_lambda_0_5,train_mmd2_biased_lambda_0_5,train_mmd2_unbiased_lambda_0_5_raw,mmd_biased_lambda_1,mmd2_biased_lambda_1,mmd2_unbiased_lambda_1_raw,baseline_mmd_biased_lambda_1,baseline_mmd2_biased_lambda_1,baseline_mmd2_unbiased_lambda_1_raw,model_train_mmd_biased_lambda_1,model_train_mmd2_biased_lambda_1,model_train_mmd2_unbiased_lambda_1_raw,train_true_mmd_biased_lambda_1,train_true_mmd2_biased_lambda_1,train_true_mmd2_unbiased_lambda_1_raw,train_mmd_biased_lambda_1,train_mmd2_biased_lambda_1,train_mmd2_unbiased_lambda_1_raw,mmd_biased_lambda_2,mmd2_biased_lambda_2,mmd2_unbiased_lambda_2_raw,baseline_mmd_biased_lambda_2,baseline_mmd2_biased_lambda_2,baseline_mmd2_unbiased_lambda_2_raw,model_train_mmd_biased_lambda_2,model_train_mmd2_biased_lambda_2,model_train_mmd2_unbiased_lambda_2_raw,train_true_mmd_biased_lambda_2,train_true_mmd2_biased_lambda_2,train_true_mmd2_unbiased_lambda_2_raw,train_mmd_biased_lambda_2,train_mmd2_biased_lambda_2,train_mmd2_unbiased_lambda_2_raw,mmd_biased_lambda_4,mmd2_biased_lambda_4,mmd2_unbiased_lambda_4_raw,baseline_mmd_biased_lambda_4,baseline_mmd2_biased_lambda_4,baseline_mmd2_unbiased_lambda_4_raw,model_train_mmd_biased_lambda_4,model_train_mmd2_biased_lambda_4,model_train_mmd2_unbiased_lambda_4_raw,train_true_mmd_biased_lambda_4,train_true_mmd2_biased_lambda_4,train_true_mmd2_unbiased_lambda_4_raw,train_mmd_biased_lambda_4,train_mmd2_biased_lambda_4,train_mmd2_unbiased_lambda_4_raw,mmd_biased_lambda_8,mmd2_biased_lambda_8,mmd2_unbiased_lambda_8_raw,baseline_mmd_biased_lambda_8,baseline_mmd2_biased_lambda_8,baseline_mmd2_unbiased_lambda_8_raw,model_train_mmd_biased_lambda_8,model_train_mmd2_biased_lambda_8,model_train_mmd2_unbiased_lambda_8_raw,train_true_mmd_biased_lambda_8,train_true_mmd2_biased_lambda_8,train_true_mmd2_unbiased_lambda_8_raw,train_mmd_biased_lambda_8,train_mmd2_biased_lambda_8,train_mmd2_unbiased_lambda_8_raw,mmd_biased_lambda_16,mmd2_biased_lambda_16,mmd2_unbiased_lambda_16_raw,baseline_mmd_biased_lambda_16,baseline_mmd2_biased_lambda_16,baseline_mmd2_unbiased_lambda_16_raw,model_train_mmd_biased_lambda_16,model_train_mmd2_biased_lambda_16,model_train_mmd2_unbiased_lambda_16_raw,train_true_mmd_biased_lambda_16,train_true_mmd2_biased_lambda_16,train_true_mmd2_unbiased_lambda_16_raw,train_mmd_biased_lambda_16,train_mmd2_biased_lambda_16,train_mmd2_unbiased_lambda_16_raw
B,0,22047,642,fixed_context,1,40,2.0,80,0.5,20,1000,0.25,0.5,20,0.75,10000,3000,0.3066883385181427,1.0771570205688477,0.770468682050705,0.770468682050705,0.8653101706504822,0.5714016330242156,0.06379876734739626,0.004070282715047195,0.003934749742866363,0.01130542579403596,0.0001278126523844536,-8.046964668289528e-06,0.18238240147513834,0.03326334036783855,0.03313075066375296,0.16448838162686816,0.027056427690226217,0.02692415990583037,0.4634174704551697,0.12457762658596039,0.33231502771377563,0.13110250234603882,1.6792163848876953,0.0959305465221405,0.16448838162686816,0.027889206021323176,0.0007778078124998089,0.0007337406687544235,0.006061765419418687,3.67450000000602e-05,-7.382696457058913e-06,0.0964724296755291,0.00930692968749991,0.009263872616386726,0.10273156160596356,0.010553773749999884,0.01051065987173705,0.0964724296755291,0.00930692968749991,0.009263872616386726,0.04854530422708265,0.002356646562500009,0.002278490444294512,0.008171730997777238,6.677718750003336e-05,-1.156681336889065e-05,0.12330504222253011,0.015204133437499934,0.015127779938806318,0.13695258075333996,0.018756009375000104,0.01867947411297388,0.12330504222253011,0.015204133437499934,0.015127779938806318,0.075499648177989,0.005700196875000119,0.005575085172892402,0.010546400452284908,0.00011122656249995533,-1.4344981123182166e-05,0.1477410535573984,0.021827418906250062,0.0217052285085072,0.17369305046906758,0.03016927578125006,0.030046633701495185,0.1477410535573984,0.021827418906250062,0.0217052285085072,0.0935403476614505,0.00874979664062503,0.008578849384688503,0.012667092577818447,0.00016045523437502318,-1.1201594909526769e-05,0.16976284008875434,0.028819421874999973,0.028652555105494915,0.20411931310969816,0.041664693984375,0.041497124870877755,0.16976284008875434,0.028819421874999973,0.028652555105494915,0.07602214315579377,0.005779366250000001,0.005584236529836584,0.013856514290443288,0.00019200298828125906,-3.594003330012474e-06,0.19806049812612497,0.039227960917968756,0.0390376230674044,0.21992871923186555,0.04836864154296874,0.04817783927291558,0.19806049812612497,0.039227960917968756,0.0390376230674044,0.03252510030204677,0.0010578821496582032,0.000858096256731752,0.014130426095853958,0.00019966894165039054,-1.9169882106619823e-07,0.21898105241581672,0.04795270131713867,0.04775790019838263,0.2237580116407846,0.050067647773437494,0.04987277215251835,0.21898105241581672,0.04795270131713867,0.04775790019838263
B,0,22052,642,fixed_context,1,40,2.0,80,1.0,40,1000,0.5,0.5,20,0.75,10000,3000,0.4314604699611664,0.8286944627761841,0.3972339928150177,0.3972339928150177,0.797259259223938,0.5952951323986053,0.05120554402952358,0.0026220077393594773,0.002486358762293078,0.01130542579403596,0.0001278126523844536,-8.046964668289528e-06,0.12652263187367327,0.016007976376241042,0.015873716576748322,0.11479047009370014,0.013176852024332665,0.013042803400484311,0.44758495688438416,0.08614470064640045,0.36267250776290894,0.0849124938249588,1.3666937351226807,0.09952761232852936,0.11479047009370014,0.022371298576523105,0.0005004749999999447,0.00045638580470552803,0.006061765419418687,3.67450000000602e-05,-7.382696457058913e-06,0.06402928285167735,0.004099749062500102,0.004056122254725514,0.06800111442101568,0.004624151562500067,0.0045804853201572016,0.06402928285167735,0.004099749062500102,0.004056122254725514,0.03899187014622181,0.0015203659374998235,0.0014421436356135686,0.008171730997777238,6.677718750003336e-05,-1.156681336889065e-05,0.08216067337844704,0.0067503762499998565,0.006672993550855155,0.0915105612074361,0.008374182812499908,0.008296677129275398,0.08216067337844704,0.0067503762499998565,0.006672993550855155,0.06067201656241456,0.0036810935937499067,0.0035558222742273493,0.010546400452284908,0.00011122656249995533,-1.4344981123182166e-05,0.09962607904058036,0.009925355624999965,0.009801481491149233,0.11788773857467119,0.013897518906250017,0.013773343400527605,0.09962607904058036,0.009925355624999965,0.009801481491149233,0.07510639120607492,0.005640969999999967,0.005469775757810158,0.012667092577818447,0.00016045523437502318,-1.1201594909526769e-05,0.11777798433387276,0.013871653593749977,0.013702469988030042,0.14145343701639057,0.020009074843749974,0.01983942842290476,0.11777798433387276,0.013871653593749977,0.013702469988030042,0.060782051729930904,0.003694457812499996,0.0034991585902613698,0.013856514290443288,0.00019200298828125906,-3.594003330012474e-06,0.1412864570623057,0.01996186294921875,0.01976896239903287,0.1550068216114818,0.024027114746093745,0.023833916745092484,0.1412864570623057,0.01996186294921875,0.01976896239903287,0.026356860442913653,0.0006946840924072265,0.0004948665111404941,0.014130426095853958,0.00019966894165039054,-1.9169882106619823e-07,0.15637171951963483,0.024452114665527346,0.024254790719113052,0.1584797002342967,0.02511581538635254,0.02491844844253249,0.15637171951963483,0.024452114665527346,0.024254790719113052
B,0,22062,642,fixed_context,1,40,2.0,80,2.0,80,1000,1.0,0.5,20,0.75,10000,3000,0.5138982534408569,0.7103001475334167,0.19640189409255981,0.19640189409255981,0.7430544447898865,0.6169729924201965,0.03929627201171365,0.0015441969940185897,0.00140844676813728,0.01130542579403596,0.0001278126523844536,-8.046964668289528e-06,0.0901258097322573,0.008122661579895043,0.007987600349017585,0.08219064899727209,0.006755302782592784,0.00662035329539191,0.43571504950523376,0.07262466102838516,0.37105250358581543,0.06466250121593475,1.0231494903564453,0.09362083673477173,0.08219064899727209,0.017574306529703786,0.0003088562499999892,0.00026474892257977167,0.006061765419418687,3.67450000000602e-05,-7.382696457058913e-06,0.046174817270890296,0.0021321137500001086,0.0020882358455218686,0.04858077037264992,0.0023600912500001403,0.002316192047954857,0.046174817270890296,0.0021321137500001086,0.0020882358455218686,0.030135848668988174,0.0009081693750001563,0.0008298895169516207,0.008171730997777238,6.677718750003336e-05,-1.156681336889065e-05,0.05927070577021937,0.0035130165624999155,0.0034351548537978616,0.06539846854093818,0.0042769596875000815,0.004199031872437198,0.05927070577021937,0.0035130165624999155,0.0034351548537978616,0.04649202720628649,0.0021615085937500833,0.0020360948183568706,0.010546400452284908,0.00011122656249995533,-1.4344981123182166e-05,0.07182774098494292,0.005159224375000049,0.005034509750912575,0.08424448516816958,0.0070971332812499455,0.006972257236098622,0.07182774098494292,0.005159224375000049,0.005034509750912575,0.05729989910549565,0.0032832784374999813,0.0031118632243849476,0.012667092577818447,0.00016045523437502318,-1.1201594909526769e-05,0.08461426538267643,0.007159573906249994,0.0069891679254801,0.1009343304455921,0.010187739062499979,0.010017086795992114,0.08461426538267643,0.007159573906249994,0.0069891679254801,0.04634296716297683,0.002147670605468749,0.001952225830016592,0.013856514290443288,0.00019200298828125906,-3.594003330012474e-06,0.10096753882552738,0.010194443896484377,0.010000201126419285,0.11025847849520747,0.012156932080078127,0.011962534494793231,0.10096753882552738,0.010194443896484377,0.010000201126419285,0.021347100561729178,0.00045569870239257817,0.00025585829653387696,0.014130426095853958,0.00019966894165039054,-1.9169882106619823e-07,0.11123598430958512,0.012373444205322267,0.012174850270219773,0.11250384045907941,0.012657114118041992,0.01245849964682949,0.11123598430958512,0.012373444205322267,0.012174850270219773
B,0,22092,642,fixed_context,1,40,2.0,80,5.0,200,1000,2.5,0.5,20,0.75,10000,3000,0.5660759806632996,0.6449688076972961,0.07889282703399658,0.07889282703399658,0.7037942314147949,0.6407580924034119,0.029439642319095297,0.0008666925398762667,0.0007308867108711043,0.01130542579403596,0.0001278126523844536,-8.046964668289528e-06,0.06026682961253393,0.003632090751546196,0.003496586896131016,0.05584777598106518,0.003118974082031241,0.0029835216228658837,0.4406525492668152,0.06172372028231621,0.3907575011253357,0.04989499971270561,0.7350497245788574,0.09583837538957596,0.05584777598106518,0.014191546779682164,0.0002013999999999072,0.00015728306980689055,0.006061765419418687,3.67450000000602e-05,-7.382696457058913e-06,0.03411786555457242,0.0011640287499998792,0.0011200348572981689,0.03558966668851949,0.001266624374999914,0.001222621208495811,0.03411786555457242,0.0011640287499998792,0.0011200348572981689,0.02309917476880757,0.0005335718749999163,0.0004552604342933364,0.008171730997777238,6.677718750003336e-05,-1.156681336889065e-05,0.043672774700035936,0.0019073112500000988,0.001829215946407281,0.04707995858111951,0.002216522499999929,0.0021383972651640715,0.043672774700035936,0.0019073112500000988,0.001829215946407281,0.034580011386637355,0.001195777187499969,0.0010702840437480932,0.010546400452284908,0.00011122656249995533,-1.4344981123182166e-05,0.05217808148542786,0.002722552187499949,0.002597398624112346,0.058875220275596434,0.0034662915625000013,0.003341063549354928,0.05217808148542786,0.002722552187499949,0.002597398624112346,0.04205408626845905,0.0017685461718749962,0.001597007792122962,0.012667092577818447,0.00016045523437502318,-1.1201594909526769e-05,0.05878412506259678,0.0034555733593750193,0.003284484224547468,0.06768934323436732,0.004581847187499988,0.004410643724856833,0.05878412506259678,0.0034555733593750193,0.003284484224547468,0.03431476896528118,0.0011775033691406242,0.0009819796769950442,0.013856514290443288,0.00019200298828125906,-3.594003330012474e-06,0.06620162310958658,0.004382654902343748,0.004187625360469641,0.07132365840341393,0.005087064248046877,0.004891963362730803,0.06620162310958658,0.004382654902343748,0.004187625360469641,0.017982119890107152,0.0003233566357421873,0.00012350524826029957,0.014130426095853958,0.00019966894165039054,-1.9169882106619823e-07,0.07128621215192142,0.00508172404296875,0.004882370724360399,0.07193187496673828,0.0051741946362304685,0.004974832266183649,0.07128621215192142,0.00508172404296875,0.004882370724360399
B,0,22142,642,fixed_context,1,40,2.0,80,10.0,400,1000,5.0,0.5,20,0.75,10000,3000,0.5847336053848267,0.6248521208763123,0.040118515491485596,0.040118515491485596,0.6871564781665802,0.6525418841838837,0.023241672582706315,0.0005401753444417225,0.00040434414263764194,0.01130542579403596,0.0001278126523844536,-8.046964668289528e-06,0.04449646708319366,0.0019799355828857366,0.0018442641898762312,0.04234310230588366,0.00179293831288653,0.001657296617229977,0.45380496978759766,0.05651076138019562,0.4107299745082855,0.043074995279312134,0.5688403248786926,0.1018325611948967,0.04234310230588366,0.010602417177226339,0.00011241124999994412,6.828806249381536e-05,0.006061765419418687,3.67450000000602e-05,-7.382696457058913e-06,0.02692103034803504,0.0007247418749998236,0.0006806897919791055,0.0271198958331325,0.0007354887499999574,0.0006914313282577744,0.02692103034803504,0.0007247418749998236,0.0006806897919791055,0.017573701943529352,0.0003088350000000073,0.00023050686974945833,0.008171730997777238,6.677718750003336e-05,-1.156681336889065e-05,0.034549090979359806,0.001193639687500081,0.0011154355006124383,0.03571683339127224,0.0012756921874998994,0.001197470689756397,0.034549090979359806,0.001193639687500081,0.0011154355006124383,0.02665826853435953,0.0007106632812500235,0.0005851327672142803,0.010546400452284908,0.00011122656249995533,-1.4344981123182166e-05,0.04124448637393825,0.0017011076562499783,0.0015757686249562308,0.044285720046083325,0.0019612250000000664,0.0018358428282203576,0.04124448637393825,0.0017011076562499783,0.0015757686249562308,0.032830937676983335,0.001077870468749964,0.0009062777116617404,0.012667092577818447,0.00016045523437502318,-1.1201594909526769e-05,0.0455540055524755,0.0020751674218749683,0.0019038193778128099,0.05016787988220199,0.002516816171875047,0.0023454019033309903,0.0455540055524755,0.0020751674218749683,0.0019038193778128099,0.027584667425095598,0.0007609138769531301,0.000565356938195774,0.013856514290443288,0.00019200298828125906,-3.594003330012474e-06,0.0490558007966119,0.0024064715917968688,0.0022111703419130935,0.05192237144285685,0.002695932656249997,0.0025005903188365652,0.0490558007966119,0.0024064715917968688,0.0022111703419130935,0.016442572478090695,0.00027035818969726555,7.050250651078282e-05,0.014130426095853958,0.00019966894165039054,-1.9169882106619823e-07,0.05154126157650257,0.0026565016448974604,0.002456896066106183,0.05190817596187958,0.002694458731689453,0.0024948480708553034,0.05154126157650257,0.0026565016448974604,0.002456896066106183
B,0,22242,642,fixed_context,1,40,2.0,80,20.0,800,1000,10.0,0.5,20,0.75,10000,3000,0.596464216709137,0.6153198480606079,0.018855631351470947,0.018855631351470947,0.6764220416545867,0.6591446912288665,0.01925825069227603,0.0003708802197265502,0.0002350291423017573,0.01130542579403596,0.0001278126523844536,-8.046964668289528e-06,0.03344260605849574,0.0011184078999837363,0.0009826398409312057,0.0316312236515185,0.0010005343096923833,0.0008647740349116334,0.4684999883174896,0.05289522185921669,0.4295949637889862,0.03890499472618103,0.4289059340953827,0.096992626786232,0.0316312236515185,0.009436630754666832,8.904999999992391e-05,4.492403540345968e-05,0.006061765419418687,3.67450000000602e-05,-7.382696457058913e-06,0.019889774382835217,0.000395603125000088,0.0003515123166066836,0.021095037923646413,0.0004450006250000804,0.0004009085141014612,0.019889774382835217,0.000395603125000088,0.0003515123166066836,0.014779356379763329,0.000218429375000051,0.0001400905937467556,0.008171730997777238,6.677718750003336e-05,-1.156681336889065e-05,0.025725759221059515,0.0006618146874999287,0.0005835358944019653,0.027635388318240018,0.0007637146874999168,0.0006854314536455242,0.025725759221059515,0.0006618146874999287,0.0005835358944019653,0.021636618988418677,0.0004681432812499997,0.00034258428464717383,0.010546400452284908,0.00011122656249995533,-1.4344981123182166e-05,0.031070630223734096,0.0009653840625000187,0.0008399150270964606,0.03391613047283016,0.0011503039062500386,0.001024823551105114,0.031070630223734096,0.0009653840625000187,0.0008399150270964606,0.026320307630230192,0.0006927585937499536,0.0005211206514713629,0.012667092577818447,0.00016045523437502318,-1.1201594909526769e-05,0.03456545647391287,0.0011947707812499653,0.0010232457049298427,0.037761660037000995,0.001425942968750038,0.001254400364145758,0.03456545647391287,0.0011947707812499653,0.0010232457049298427,0.022746279958558564,0.000517393251953123,0.0003218077596919833,0.013856514290443288,0.00019200298828125906,-3.594003330012474e-06,0.03668848553297242,0.0013460449707031266,0.0011505814645761461,0.038364954660389604,0.00147186974609375,0.0012763954152505072,0.03668848553297242,0.0013460449707031266,0.0011505814645761461,0.015476007767064797,0.0002395068164062499,3.964752884980864e-05,0.014130426095853958,0.00019966894165039054,-1.9169882106619823e-07,0.0379419060037997,0.001439588231201172,0.0012398538018587016,0.03812630937172642,0.0014536154663085939,0.0012538797473388699,0.0379419060037997,0.001439588231201172,0.0012398538018587016
B,0,22542,642,fixed_context,1,40,2.0,80,50.0,2000,1000,25.0,0.5,20,0.75,10000,3000,0.6002098321914673,0.6087564826011658,0.008546650409698486,0.008546650409698486,0.6723971462249756,0.6643934118747711,0.0166378461282535,0.00027681792378744,0.00014096282063564249,0.01130542579403596,0.0001278126523844536,-8.046964668289528e-06,0.022614677054201483,0.0005114236182658271,0.00037559996609998637,0.022367126325194348,0.000500288340047202,0.0003644701844791689,0.4981675148010254,0.050381872802972794,0.4632124900817871,0.03495499864220619,0.3465445637702942,0.09906276315450668,0.022367126325194348,0.007964628836296825,6.343531249997092e-05,1.9308069431955843e-05,0.006061765419418687,3.67450000000602e-05,-7.382696457058913e-06,0.013122487854821199,0.00017219968749992987,0.00012808520120755063,0.013542156401405077,0.00018339000000011652,0.00013927519464473903,0.013122487854821199,0.00017219968749992987,0.00012808520120755063,0.012390293580055575,0.00015351937499996637,7.517761101105691e-05,0.008171730997777238,6.677718750003336e-05,-1.156681336889065e-05,0.01743211834517084,0.0003038787500000417,0.00022555966565418473,0.01791558330058061,0.0003209681250000429,0.00024264659522210685,0.01743211834517084,0.0003038787500000417,0.00022555966565418473,0.018104091388414862,0.00032775812500007717,0.00020219306049362729,0.010546400452284908,0.00011122656249995533,-1.4344981123182166e-05,0.021927412210518676,0.0004808114062500035,0.000355282514751587,0.022379870280009265,0.000500858593750042,0.00037532195344547326,0.021927412210518676,0.0004808114062500035,0.000355282514751587,0.022204734503592116,0.0004930502343750143,0.000321403970350187,0.012667092577818447,0.00016045523437502318,-1.1201594909526769e-05,0.025302691000663066,0.0006402261718750357,0.00046862802764652267,0.025582379189591314,0.0006544581250000348,0.0004828468930955787,0.025302691000663066,0.0006402261718750357,0.00046862802764652267,0.019954073244891686,0.00039816503906250217,0.00020257464850391427,0.013856514290443288,0.00019200298828125906,-3.594003330012474e-06,0.026505081138752867,0.0007025193261718729,0.0005069805291427545,0.02658172117058308,0.0007065879003906247,0.0005110407262249664,0.026505081138752867,0.0007025193261718729,0.0005069805291427545,0.014999315210605754,0.00022497945678710916,2.5119564023113683e-05,0.014130426095853958,0.00019966894165039054,-1.9169882106619823e-07,0.02649706962073972,0.0007020946984863279,0.0005022851684724136,0.026500546512366524,0.0007022789654541016,0.000502468433967054,0.02649706962073972,0.0007020946984863279,0.0005022851684724136
C,0,41052,942,fixed_context,1,80,1.0,80,1.0,80,1000,1.0,0.5,40,0.5,10000,3000,0.4066822826862335,0.9046261310577393,0.49794384837150574,0.49794384837150574,0.8108483171463012,0.588356409072876,0.03468065870739572,0.0012027480883788626,0.0010668308306057237,0.01159139923584257,0.0001343605362446917,-1.6374014405507664e-06,0.09680898754915354,0.009371980070292165,0.00923690858068441,0.08997545571840257,0.008095582631734223,0.007960590803656133,0.39155498147010803,0.06868790835142136,0.3319949805736542,0.05955999717116356,1.2890273332595825,0.13842342793941498,0.08997545571840257,0.016072414255484703,0.00025832249999990786,0.0002141845060756875,0.006498220910371964,4.2226874999995445e-05,-1.9276673917101306e-06,0.05822509660790485,0.003390161874999853,0.00334637368605617,0.05922992275868633,0.003508183749999949,0.003464379460946132,0.05822509660790485,0.003390161874999853,0.00334637368605617,0.027018992162917976,0.000730025937499823,0.0006516481771925431,0.008694861988554228,7.56006250000052e-05,-2.826742674377769e-06,0.07390781842944717,0.005462365625000132,0.005384592240786468,0.0779507075817795,0.006076312812500095,0.005998490728197803,0.07390781842944717,0.005462365625000132,0.005384592240786468,0.04120215596604119,0.0016976176562499834,0.0015719616489149324,0.011079295160338625,0.0001227507812499029,-3.0239878675564213e-06,0.08669958819827281,0.007516818593750085,0.007392085801173898,0.09653657014313295,0.009319309375000029,0.009194459435693525,0.08669958819827281,0.007516818593750085,0.007392085801173898,0.05036959493335264,0.002537096093750024,0.0023653099061469174,0.013047317732008302,0.00017023249999997825,-1.7318857198356241e-06,0.09458460457111928,0.008946247421874998,0.008775636188509517,0.10916757724652035,0.011917559921874987,0.011746772474341138,0.09458460457111928,0.008946247421874998,0.008775636188509517,0.04034479387204903,0.0016277023925781245,0.0014320265261447973,0.013981833917176483,0.0001954916796875067,-2.9238858650915134e-07,0.10396894335156352,0.010809541181640625,0.010615116445419931,0.11277861185955763,0.012719015292968754,0.012524483404996747,0.10396894335156352,0.010809541181640625,0.010615116445419931,0.01912391043158571,0.0003657239501953127,0.00016585421915946488,0.01413721176649631,0.0001998607565307617,-2.1736403315502154e-08,0.11157222366314856,0.012448361093139647,0.012249740459990822,0.11265655448933799,0.01269149926940918,0.012492865979931123,0.11157222366314856,0.012448361093139647,0.012249740459990822
C,0,41062,942,fixed_context,1,80,1.0,80,2.0,160,1000,2.0,0.5,40,0.5,10000,3000,0.5003200769424438,0.7378989458084106,0.2375788688659668,0.2375788688659668,0.7526954054832459,0.6110073304176331,0.027141831770916485,0.0007366790318807315,0.0006007216737457618,0.01159139923584257,0.0001343605362446917,-1.6374014405507664e-06,0.06802830520856716,0.004627850309549967,0.004492297662378239,0.06150253139672203,0.003782561368204779,0.003647049182034424,0.3924875259399414,0.05753982067108154,0.3439575135707855,0.04852999746799469,0.9907210469245911,0.13530200719833374,0.06150253139672203,0.01223402018961809,0.00014967124999998305,0.00010552446894673828,0.006498220910371964,4.2226874999995445e-05,-1.9276673917101306e-06,0.03753698176465529,0.0014090250000000637,0.0013650330708070424,0.04026776005689897,0.001621492499999988,0.0015774931343133236,0.03753698176465529,0.0014090250000000637,0.0013650330708070424,0.020711085497873816,0.000428949062500239,0.00035054607548246075,0.008694861988554228,7.56006250000052e-05,-2.826742674377769e-06,0.04781145913899735,0.002285935625000013,0.002207805049567524,0.053397650346246266,0.0028513090624999737,0.0027731545313280925,0.04781145913899735,0.002285935625000013,0.002207805049567524,0.03174650571322825,0.0010078406250000338,0.0008821256095297159,0.011079295160338625,0.0001227507812499029,-3.0239878675564213e-06,0.056740593934149756,0.003219495000000072,0.0030942087365923854,0.06694810023443594,0.004482048125000082,0.004356702423929937,0.056740593934149756,0.003219495000000072,0.0030942087365923854,0.039046267627328414,0.0015246110156249548,0.001352737168326179,0.013047317732008302,0.00017023249999997825,-1.7318857198356241e-06,0.06394230431607865,0.004088618281250012,0.003917311896892872,0.07688997465941157,0.005912068203124954,0.005740671200432534,0.06394230431607865,0.004088618281250012,0.003917311896892872,0.03188421129160166,0.001016602929687499,0.0008208736579595477,0.013981833917176483,0.0001954916796875067,-2.9238858650915134e-07,0.07321972337167765,0.005361127890624998,0.0051660207319716295,0.0802756289390653,0.006444176601562497,0.006249014414312526,0.07321972337167765,0.005361127890624998,0.0051660207319716295,0.017099687379355206,0.00029239930847167967,9.252306222992906e-05,0.01413721176649631,0.0001998607565307617,-2.1736403315502154e-08,0.07956862706088069,0.006331166412353516,0.006131915606375091,0.08034928353826376,0.006456007365112305,0.00625675026995302,0.07956862706088069,0.006331166412353516,0.006131915606375091
C,0,41092,942,fixed_context,1,80,1.0,80,5.0,400,1000,5.0,0.5,40,0.5,10000,3000,0.5617014169692993,0.6513293385505676,0.08962792158126831,0.08962792158126831,0.7059472978115082,0.6382021200656891,0.020262690370306213,0.00041057662104290016,0.00027459067202137687,0.01159139923584257,0.0001343605362446917,-1.6374014405507664e-06,0.042658771700183326,0.0018197708029683618,0.0016839393051514891,0.039015026847950454,0.0015221723199462947,0.001386352573924191,0.40308496356010437,0.050906699150800705,0.3629724979400635,0.04011249914765358,0.6715741753578186,0.1393132507801056,0.039015026847950454,0.009823966230608236,9.651031250013098e-05,5.2358377838013226e-05,0.006498220910371964,4.2226874999995445e-05,-1.9276673917101306e-06,0.022790060881883838,0.0005193868749999719,0.0004752867631763191,0.023933912916613502,0.0005728321875000386,0.0005287301085108442,0.022790060881883838,0.0005193868749999719,0.0004752867631763191,0.015612244793747494,0.00024374218749989573,0.00016532240499045336,0.008694861988554228,7.56006250000052e-05,-2.826742674377769e-06,0.029180248028418627,0.0008514868750000293,0.000773159831108261,0.03203011766291291,0.0010259284375000455,0.0009475946408390445,0.029180248028418627,0.0008514868750000293,0.000773159831108261,0.023060142155894345,0.0005317701562500554,0.0004060132325108823,0.011079295160338625,0.0001227507812499029,-3.0239878675564213e-06,0.03507226468307985,0.00123006375000001,0.001104457433055872,0.04081727384025142,0.0016660498437500726,0.0015404262883788045,0.03507226468307985,0.00123006375000001,0.001104457433055872,0.028044015348644282,0.0007864667968749961,0.0006145288478379141,0.013047317732008302,0.00017023249999997825,-1.7318857198356241e-06,0.040509020986072015,0.0016409807812500232,0.0014692524249299566,0.048051742131529004,0.0023089699218749593,0.002137214965012124,0.040509020986072015,0.0016409807812500232,0.0014692524249299566,0.023759569412594016,0.0005645171386718731,0.0003687487923206348,0.013981833917176483,0.0001954916796875067,-2.9238858650915134e-07,0.047309624355310886,0.002238200556640625,0.002042674946164537,0.05143361315812837,0.0026454165624999956,0.0024498748015797656,0.047309624355310886,0.002238200556640625,0.002042674946164537,0.01550655134001269,0.00024045313446044935,4.05723766303634e-05,0.01413721176649631,0.0001998607565307617,-2.1736403315502154e-08,0.05150645669998189,0.0026529150817871093,0.0024532840451101995,0.05195601856075058,0.0026994278646850587,0.002499795026588352,0.05150645669998189,0.0026529150817871093,0.0024532840451101995
