experiment,repeat,training_objective,D,gamma,N,alpha,M_train,num_steps,fast_debug,final_run,macbook_30min_run,run_mode,t_val,train_loss_t,train_acc_t,test_loss_t,test_acc_t
B,0,repo_uniform_t,40,2.0,80,0.5,20,1500,False,True,False,full_final,0.1,0.00559895362239331,0.999770107269287,1.4149474239349364,0.6173625838756561
B,0,repo_uniform_t,40,2.0,80,0.5,20,1500,False,True,False,full_final,0.3,0.03122877888381481,0.9935263574123383,1.2834593963623047,0.6074747693538666
B,0,repo_uniform_t,40,2.0,80,0.5,20,1500,False,True,False,full_final,0.5,0.11157112702727319,0.961628577709198,1.1486664867401124,0.5943418037891388
B,0,repo_uniform_t,40,2.0,80,0.5,20,1500,False,True,False,full_final,0.7,0.25609289199113844,0.8933669662475585,0.9972280049324036,0.5763105630874634
B,0,repo_uniform_t,40,2.0,80,0.5,20,1500,False,True,False,full_final,0.9,0.5127940803766251,0.7424578750133515,0.8138849890232086,0.5457535457611083
B,0,repo_uniform_t,40,2.0,80,1.0,40,1500,False,True,False,full_final,0.1,0.04382090780884027,0.9928321325778962,1.0688198709487915,0.6580736994743347
B,0,repo_uniform_t,40,2.0,80,1.0,40,1500,False,True,False,full_final,0.3,0.12206579372286797,0.9587885558605194,1.0149612677097322,0.6428692305088043
B,0,repo_uniform_t,40,2.0,80,1.0,40,1500,False,True,False,full_final,0.5,0.23958254754543304,0.9006025803089142,0.9470222389698029,0.6252199792861939
B,0,repo_uniform_t,40,2.0,80,1.0,40,1500,False,True,False,full_final,0.7,0.39507205426692965,0.8178616762161255,0.8705948615074157,0.5998811554908753
B,0,repo_uniform_t,40,2.0,80,1.0,40,1500,False,True,False,full_final,0.9,0.587209860086441,0.6861342906951904,0.7672492945194245,0.5591113722324371
B,0,repo_uniform_t,40,2.0,80,2.0,80,1500,False,True,False,full_final,0.1,0.14345299571752548,0.951637123823166,0.7943483924865723,0.6970079410076141
B,0,repo_uniform_t,40,2.0,80,2.0,80,1500,False,True,False,full_final,0.3,0.24847018808126448,0.8941977775096893,0.7899824666976929,0.6766808819770813
B,0,repo_uniform_t,40,2.0,80,2.0,80,1500,False,True,False,full_final,0.5,0.3662399142980576,0.833199188709259,0.7838773691654205,0.6522609090805054
B,0,repo_uniform_t,40,2.0,80,2.0,80,1500,False,True,False,full_final,0.7,0.49698948085308076,0.7567128360271453,0.7646183300018311,0.6207796037197113
B,0,repo_uniform_t,40,2.0,80,2.0,80,1500,False,True,False,full_final,0.9,0.6310544764995575,0.6460622656345367,0.7274758350849152,0.5705725955963135
B,0,repo_uniform_t,40,2.0,80,5.0,200,1500,False,True,False,full_final,0.1,0.2942756199836731,0.8736870861053467,0.5631621396541595,0.7421842980384826
B,0,repo_uniform_t,40,2.0,80,5.0,200,1500,False,True,False,full_final,0.3,0.3787935167551041,0.8269513416290283,0.5993794465065002,0.7164499843120575
B,0,repo_uniform_t,40,2.0,80,5.0,200,1500,False,True,False,full_final,0.5,0.4681837683916092,0.7730545222759246,0.6307270336151123,0.6859848320484161
B,0,repo_uniform_t,40,2.0,80,5.0,200,1500,False,True,False,full_final,0.7,0.556305832862854,0.7126672244071961,0.6619771146774291,0.6462169349193573
B,0,repo_uniform_t,40,2.0,80,5.0,200,1500,False,True,False,full_final,0.9,0.6486806964874268,0.6215114378929139,0.6858923661708832,0.5847349357604981
B,0,repo_uniform_t,40,2.0,80,10.0,400,1500,False,True,False,full_final,0.1,0.3573621553182602,0.838415676355362,0.4903584522008896,0.7655583965778351
B,0,repo_uniform_t,40,2.0,80,10.0,400,1500,False,True,False,full_final,0.3,0.42665636718273164,0.7982695090770722,0.5354994249343872,0.7363414943218232
B,0,repo_uniform_t,40,2.0,80,10.0,400,1500,False,True,False,full_final,0.5,0.4979135137796402,0.7532277357578278,0.5801935923099518,0.7029411458969116
B,0,repo_uniform_t,40,2.0,80,10.0,400,1500,False,True,False,full_final,0.7,0.5746868562698364,0.6964669072628021,0.6253999304771424,0.6596320855617523
B,0,repo_uniform_t,40,2.0,80,10.0,400,1500,False,True,False,full_final,0.9,0.6521111178398132,0.6142078125476838,0.6709862673282623,0.5934984350204467
B,0,repo_uniform_t,40,2.0,80,20.0,800,1500,False,True,False,full_final,0.1,0.39505073010921476,0.8159299266338348,0.4575756460428238,0.7787485957145691
B,0,repo_uniform_t,40,2.0,80,20.0,800,1500,False,True,False,full_final,0.3,0.456008363366127,0.7795467305183411,0.5074137926101685,0.7483639562129974
B,0,repo_uniform_t,40,2.0,80,20.0,800,1500,False,True,False,full_final,0.5,0.5190095579624177,0.7381487989425659,0.5578821051120758,0.7128777360916138
B,0,repo_uniform_t,40,2.0,80,20.0,800,1500,False,True,False,full_final,0.7,0.5861135339736938,0.6864695799350738,0.6101338827610016,0.6676123189926148
B,0,repo_uniform_t,40,2.0,80,20.0,800,1500,False,True,False,full_final,0.9,0.6566045546531677,0.6077596747875214,0.6650120306015015,0.5975836944580079
B,0,repo_uniform_t,40,2.0,80,50.0,2000,1500,False,True,False,full_final,0.1,0.4119103424358368,0.8040000974464417,0.4380252557992935,0.7880548930168152
B,0,repo_uniform_t,40,2.0,80,50.0,2000,1500,False,True,False,full_final,0.3,0.46776516008853913,0.7711670140552521,0.4901439243555069,0.7577210092544555
B,0,repo_uniform_t,40,2.0,80,50.0,2000,1500,False,True,False,full_final,0.5,0.5266256002044677,0.7322820412063599,0.5435969316959381,0.7206070041656494
B,0,repo_uniform_t,40,2.0,80,50.0,2000,1500,False,True,False,full_final,0.7,0.5893451176261902,0.6829095885276795,0.599841651916504,0.6741369020938873
B,0,repo_uniform_t,40,2.0,80,50.0,2000,1500,False,True,False,full_final,0.9,0.6568147309494018,0.6068524096298218,0.6605882287025452,0.6016946852207183
C,0,repo_uniform_t,80,1.0,80,1.0,80,1500,False,True,False,full_final,0.1,0.17587340086698533,0.940718228816986,1.0098928201198578,0.6146421933174133
C,0,repo_uniform_t,80,1.0,80,1.0,80,1500,False,True,False,full_final,0.3,0.2868159633874893,0.876075884103775,0.9676821112632752,0.6015961849689484
C,0,repo_uniform_t,80,1.0,80,1.0,80,1500,False,True,False,full_final,0.5,0.40971511602401733,0.8086011528968811,0.9167176973819733,0.5863347053527832
C,0,repo_uniform_t,80,1.0,80,1.0,80,1500,False,True,False,full_final,0.7,0.5322004008293152,0.733887392282486,0.8517402672767639,0.5672831225395203
C,0,repo_uniform_t,80,1.0,80,1.0,80,1500,False,True,False,full_final,0.9,0.6467572569847106,0.6293238878250123,0.7574122047424316,0.5389421498775482
C,0,repo_uniform_t,80,1.0,80,2.0,160,1500,False,True,False,full_final,0.1,0.3351555758714676,0.8529046654701233,0.771571832895279,0.64622110247612
