# Rényi α=0.02 (n=-0.98) RS entropy density for the sign channel under q₀=0 ansatz
# See §4.3 of notes/notes_hiddenmanifold.typ (eq:sign-renyi-main)
gamma,q1,q1hat,Phi_n,S_prior,s_out,s_prior,s
0.05,0.03173229966614399,0.03382408791971111,0.6790801600068924,5.148226358362568e-6,0.6929389387825433,0.00010506584404821566,0.6930440046265915
0.1,0.06325982184642637,0.07199519122196445,0.6788645377173956,2.13698540292781e-5,0.6927189160381588,0.00021805973499263367,0.6929369757731515
0.15,0.09457121544173484,0.11511822630000743,0.67863644874218,4.993496300277622e-5,0.6924861721858979,0.00033969362586922604,0.6928258658117672
0.2,0.12565481045621368,0.16389540744280656,0.6783948751419189,9.226878932917792e-5,0.6922396685121621,0.0004707591292304996,0.6927104276413926
0.25,0.15649863875470657,0.21914443107402043,0.6781386893976166,0.0001499739736183503,0.6919782544873638,0.0006121386678300012,0.6925903931551939
0.3,0.1870904532573917,0.2818205874314873,0.6778666393062118,0.00022485664030857944,0.6917006523532774,0.0007648185044509505,0.6924654708577284
0.35,0.21741774416279935,0.3530437679786589,0.6775773303494502,0.00031895707610134216,0.6914054391320921,0.0009299040119572659,0.6923353431440493
0.4,0.24746775176479607,0.43413160875265333,0.6772692050385258,0.0004345859525312079,0.6910910255495162,0.0011086376340081834,0.6921996631835243
0.45,0.27722747492047956,0.5266403641704178,0.6769405186290748,0.0005743672577530334,0.690755631254158,0.0013024200856077855,0.6920580513397657
0.5,0.3066836749156586,0.6324155772494633,0.67658931045281,0.0007412893851892477,0.6903972555640918,0.0015128354799780566,0.6919100910440699
0.55,0.33582287266204114,0.7536552308038467,0.6762133699543886,0.000938766173243899,0.6900136428106006,0.0017416812119552855,0.6917553240225559
0.6,0.3646313401996632,0.8929889102182872,0.6758101962620371,0.0011707101592421387,0.6896022410837114,0.001991003672180508,0.6915932447558919
0.65,0.3930950832779442,1.0535776210669892,0.6753769498828833,0.001441620869476773,0.6891601529417177,0.002263141082381119,0.6914232940240989
0.7,0.42119981530364226,1.2392404483064894,0.6749103947062448,0.0017566917358688983,0.688684076230862,0.0025607751251733213,0.6912448513560353
0.75,0.4489309199521931,1.4546163260919984,0.6744068280675668,0.002121940178411774,0.688170232722007,0.0028869934400160193,0.6910572261620229
0.8,0.4762734008798667,1.7053720794351466,0.6738619960094805,0.0025443666571859924,0.6876142816423271,0.0032453656341658067,0.6908596472764928
0.85,0.5032118156952092,1.9984719046409718,0.6732709901200703,0.0030321501249244154,0.687011214408235,0.0036400361643750484,0.69065125057261
0.9,0.529730190791027,2.3425290703502757,0.6726281213398125,0.0035948894440770984,0.6863552258569515,0.0040758383719694995,0.690431064228921
0.95,0.5558119127279952,2.748268547088477,0.6719267648571676,0.00424390312270545,0.6856395559767017,0.004558435147911332,0.690197991124613
1.0,0.5814395911863905,3.2291405626171454,0.6711591685620151,0.004992603392979744,0.6848562944510358,0.005094493258142596,0.6899507877091784
1.1,0.6312582894735886,4.488919927198346,0.6693871277431721,0.006856118633419228,0.6830480895338491,0.006360035838051232,0.6894081253719003
1.2,0.6790238531709112,6.323283282016231,0.6672168206700877,0.009355781833019439,0.6808334904796813,0.007955596796785237,0.6887890872764666
1.3,0.7245446487946265,9.071862352762235,0.6645122183871516,0.012741697737541635,0.6780736922317874,0.01000133260403582,0.6880750248358232
1.4,0.7675840927628317,13.329554106311328,0.6610750107483324,0.01738907977224402,0.6745663374982984,0.012674256393763864,0.6872405938920623
1.5,0.8078366732852267,20.180037268917214,0.6566117651128947,0.02387089266938569,0.6700120052172395,0.016238702496180743,0.6862507077134202
1.6,0.8448943056384516,31.66920442584167,0.6506876262826999,0.03306776988130555,0.6639669655945918,0.021089138954914256,0.685056104549506
1.7,0.8782102352016785,51.744996088876405,0.6426769922894164,0.046305870637013635,0.6557928492749148,0.027794640238303504,0.6835874895132182
1.8,0.9070983994095058,87.93014594901493,0.63176555937246,0.06542873554394646,0.6446587340535307,0.03709111992287214,0.6817498539764029
1.9,0.9308670533120267,153.44545935324754,0.6171426462127404,0.09251462496776841,0.629737394094633,0.04968562028344169,0.6794230143780747
2.0,0.949178671624118,267.55682756594297,0.5985002597506899,0.128899667070274,0.6107145507660101,0.06576513626034389,0.676479687026354
2.1,0.9624266887625713,450.78852937187406,0.5765117277635652,0.17399881523612293,0.5882772732281277,0.08454752926925313,0.6728248024973809
2.2,0.9716477397011372,717.1790788559806,0.552620584794418,0.22537427907424967,0.5638985559126715,0.10453352461699891,0.6684320805296704
2.3,0.9780206511184979,1071.1966343687477,0.5282987535047071,0.28009736115772577,0.5390803607190889,0.12426679731931045,0.6633471580383994
2.4,0.9824945996481362,1510.5581261464192,0.5045728756084309,0.33584593894300396,0.5148702812330928,0.14279164070705952,0.6576619219401523
2.5,0.9857180054619372,2030.165652367638,0.48200006563849285,0.39113928437731915,0.4918368016719315,0.15964868750094657,0.6514854891728781
2.6,0.9881065874276609,2624.5057252804463,0.4608164938707867,0.44514660791024374,0.4702209121130477,0.17470432021595123,0.6449252323289989
2.7,0.9899240338158203,3288.632119938695,0.44107572599286476,0.4974492235050427,0.45007727142129056,0.18800046239797533,0.6380777338192659
2.8,0.991339913026547,4018.420422797445,0.4227377283404895,0.547869219111019,0.43136502891886686,0.19966079413666876,0.6310258230555357
2.9,0.9924658570253998,4810.535165538135,0.40571911462711746,0.5963639477501481,0.41399909655828315,0.20983953122806057,0.6238386277863437
3.0,0.9933773064674845,5662.310601475994,0.38991990920919967,0.6429645615029227,0.3978774583767344,0.21869542908262676,0.6165728874593611
3.1,0.9941265751639297,6571.62219966494,0.3752372840024961,0.6877408280399124,0.3828951877576491,0.22637946940089285,0.6092746571585419
3.2,0.9947508242564205,7536.774235707053,0.36157229330797747,0.7307810986026806,0.36895131970201783,0.2330296870544262,0.6019810067564441
3.3,0.9952770379121179,8556.40855012119,0.34883290083668506,0.7721809392201793,0.35595193962927046,0.23876961633277033,0.5947215559620408
3.4,0.9957252031446666,9629.43268090692,0.33693506746211227,0.8120367343037578,0.343811293328686,0.24370850369260438,0.5875197970212904
3.5,0.9961103909252332,10754.964505821807,0.32580283984164005,0.8504421877452344,0.3324518773894286,0.2479423287886981,0.5803942061781266
3.6,0.9964441490500457,11932.289146069328,0.3153679577015755,0.8874864854315867,0.3218040384709954,0.2515551262561187,0.5733591647271141
