# Rényi α=0.8 (n=-0.19999999999999996) RS entropy density for the noiseless sign channel (q₀=0 ansatz)
# See §4.3 of notes/notes_hiddenmanifold.typ (eq:sign-renyi-main)
gamma,q1,q1hat,Phi_n,S_prior,s_out,s_prior,s
0.05,0.03151530770550855,0.03274725029960196,0.13700146241261676,4.075533380205583e-5,0.685007312063084,0.004075533380205584,0.6890828454432896
0.1,0.062388204433930686,0.0673802296305778,0.135360763047763,0.00016385780271828496,0.6768038152388152,0.00819289013591425,0.6849967053747295
0.15,0.09260314875784062,0.1039794008597342,0.13370880640146135,0.0003703961435774991,0.6685440320073069,0.012346538119249973,0.680890570126557
0.2,0.12214607853675881,0.14262592998642631,0.1320471240110594,0.0006612278213307676,0.6602356200552971,0.016530695533269194,0.6767663155885664
0.25,0.1510045247623299,0.18340146931613777,0.1303773012455182,0.0010369684982786589,0.6518865062275911,0.02073936996557318,0.6726258761931643
0.3,0.1791677051347248,0.2263879342944109,0.1287009674610483,0.0014979839768554,0.6435048373052417,0.024966399614256674,0.6684712369194983
0.35,0.20662659736235758,0.27166727695725146,0.12701978572844502,0.002044384742242302,0.6350989286422253,0.029205496317747184,0.6643044249599724
0.4,0.23337399104705234,0.31932125689889423,0.1253354423205948,0.002676023162466276,0.6266772116029741,0.03345028953082846,0.6601275011338026
0.45,0.25940451929687913,0.36943121362032294,0.12364963603906469,0.003392493384426855,0.6182481801953236,0.03769437093807617,0.6559425511333997
0.5,0.2847146696094188,0.42207784111260105,0.12196406757650162,0.004193133880760341,0.6098203378825082,0.04193133880760342,0.6517516766901117
0.55,0.30930277556271446,0.4773409683223805,0.12028042900682125,0.0050770325882850825,0.6014021450341064,0.046154841711682576,0.647556986745789
0.6,0.3331689899614466,0.5352993471057492,0.11860039356325235,0.006043034507916489,0.5930019678162619,0.05035862089930409,0.643360588715566
0.65,0.3563152410198734,0.5960304504838605,0.11692560581295702,0.007089751611825623,0.5846280290647853,0.05453655086019711,0.6391645799249824
0.7,0.3787451726685853,0.6596102822205643,0.11525767237577858,0.008215574839090932,0.576288361878893,0.058682677422078104,0.6349710393009711
0.75,0.40046407119208494,0.7261132008407377,0.11359815325547554,0.009418687967087613,0.5679907662773778,0.06279125311391744,0.6307820193912952
0.8,0.42147877958321867,0.7956117586633746,0.1119485539040885,0.010697083081661972,0.5597427695204427,0.06685676926038733,0.62659953878083
0.85,0.4417976016697719,0.8681765575543443,0.11031031808291561,0.012048577373707972,0.5515515904145781,0.07087398455122339,0.6224255749658015
0.9,0.461430197846906,0.9438761220932241,0.10868482158540403,0.013470830966115482,0.5434241079270202,0.0748379498117527,0.618262057738773
0.95,0.48038747437556073,1.0227767908890673,0.10707336685993439,0.01496136547742418,0.535366834299672,0.07874402882854835,0.6141108631282204
1.0,0.49868146814110204,1.104942626425668,0.10547717855414387,0.016517583031262266,0.5273858927707195,0.08258791515631135,0.6099738079270308
1.1,0.5333326986973002,1.2793142533614976,0.10233509057282227,0.019816193180016192,0.5116754528641114,0.09007360536370998,0.6017490582278214
1.2,0.5654982976764598,1.4674556948818027,0.09926668765164198,0.023344212280323323,0.49633343825821,0.09726755116801387,0.5936009894262239
1.3,0.5953032311937521,1.6697924440036789,0.0962787221044066,0.027078474444833342,0.4813936105220331,0.10414797863397442,0.5855415891560075
1.4,0.622879477871992,1.8867108862039088,0.0933765773099765,0.0309956358895854,0.46688288654988264,0.11069869960566217,0.5775815861555448
1.5,0.6483628059603666,2.118559235603767,0.09056431920954525,0.03507264751918068,0.4528215960477263,0.11690882506393564,0.5697304211116619
1.6,0.6718899564919583,2.365649150544213,0.08784478111909602,0.0392871502045023,0.4392239055954802,0.1227723443890697,0.5619962499845499
1.7,0.6935962737211692,2.6282578511414583,0.08521967230170881,0.043617788529889956,0.42609836150854413,0.1282876133232058,0.5543859748317499
1.8,0.7136137901971933,2.906630573897564,0.08268970123786956,0.048044444603979095,0.4134485061893479,0.1334567905666086,0.5469052967559566
1.9,0.7320697473388436,3.200983218362146,0.08025470563204413,0.05254839783377899,0.40127352816022077,0.13828525745731315,0.5395587856175339
2.0,0.7490855138054221,3.5115050629158393,0.077913782634437,0.057112419324129804,0.3895689131721851,0.14278104831032454,0.5323499614825097
2.1,0.7647758530808513,3.8383614531792754,0.07566541426521017,0.06172081103696116,0.378327071326051,0.14695431199276468,0.5252813833188157
2.2,0.7792484866806386,4.181696386616387,0.07350758451442466,0.06635940015865352,0.36753792257212337,0.15081681854239437,0.5183547411145177
2.3,0.7926039000366714,4.541634956356428,0.07143788576904472,0.07101549894648097,0.3571894288452237,0.15438151944887174,0.5115709482940954
2.4,0.8049353396375072,4.918285600115858,0.069453613524672,0.07567783889816813,0.34726806762336004,0.15766216437118366,0.5049302319945437
2.5,0.816328957333045,5.3117421671848835,0.0675518488486207,0.08033648757485341,0.33775924424310355,0.16067297514970685,0.4984322193928104
2.6,0.8268640614011773,5.72208576615837,0.06572952904388638,0.0849827542760797,0.32864764521943196,0.1634283736078456,0.4920760188272776
2.7,0.8366134426873629,6.1493864322493135,0.06398350701311463,0.08960909032078951,0.31991753506557324,0.16594275985331391,0.48586029491888716
2.8,0.8456437480099139,6.593704586730315,0.062310600445673214,0.09420898762444335,0.3115530022283661,0.1682303350436489,0.47978333727201505
2.9,0.8540158805578723,7.055092334497669,0.06070763175529912,0.09877687903331886,0.30353815877649565,0.1703049638505498,0.4738431226270454
3.0,0.8617854104052389,7.5335945932564785,0.05917145998843126,0.10330804236795985,0.29585729994215637,0.17218007061326646,0.4680373705554228
3.1,0.8690029831408115,8.029250076578812,0.05769900577175476,0.10779850973325045,0.28849502885877387,0.17386856408588786,0.4623635929446617
3.2,0.8757147179583615,8.542092159312059,0.056287270302629186,0.11224498311249359,0.281436351513146,0.17538278611327127,0.45681913762641724
3.3,0.8819625885859956,9.072149602807691,0.054933349440849696,0.11664475637867248,0.27466674720424855,0.17673447936162504,0.45140122656587356
3.4,0.8877847838357713,9.61944720406678,0.0536344436010173,0.12099564432040857,0.26817221800508656,0.17793477105942443,0.44610698906451096
3.5,0.8932160449188381,10.184006344199698,0.05238786430219908,0.12529591824939684,0.26193932151099547,0.1789941689277098,0.4409334904387053
3.6,0.8982879786929949,10.765845463270718,0.05119103797145161,0.12954424807649625,0.2559551898572581,0.1799225667729115,0.4358777566301696
3.7,0.903029346637432,11.364980468214647,0.0500415075603323,0.13373965046446745,0.25020753780166155,0.1807292573844155,0.4309367951860771
3.8,0.9074663300530222,11.981425083624444,0.04893693243566263,0.13788144264047572,0.24468466217831322,0.18142295084273127,0.4261076130210445
3.9,0.9116227724148891,12.615191152827492,0.047875086932405046,0.14196920141110353,0.2393754346620253,0.182011796680902,0.4213872313429273
4.0,0.9155204001026818,13.26628889763839,0.04685385788635584,0.14600272692828653,0.23426928943177927,0.1825034086603582,0.41677269809213746
4.1,0.9191790228716319,13.934727139868336,0.045871241414310836,0.14998201073464823,0.22935620707155424,0.18290489113981498,0.41226109821136925
4.2,0.9226167155513149,14.620513493515892,0.04492533914919007,0.15390720767905497,0.2246266957459504,0.18322286628458928,0.4078495620305397
4.3,0.9258499824304383,15.32365452863871,0.04401435410809437,0.15777861127340936,0.22007177054047192,0.1834635014807086,0.40353527202118056
4.4,0.9288939057946464,16.044155912939218,0.04313658632751818,0.16159663212721212,0.21568293163759092,0.1836325365081956,0.39931546814578656
4.5,0.9317622800111207,16.782022533941596,0.042290428375584076,0.16536177911102246,0.2114521418779204,0.18373531012335834,0.39518745200127875
4.6,0.9344677325146162,17.537258614108232,0.04147436081665833,0.16907464298037314,0.2073718040832917,0.18377678584823173,0.39114858993152346
4.7,0.937021832714707,18.309867758756766,0.04068694776011434,0.17273588187389533,0.20343473880057175,0.1837615764615908,0.3871963152621626
4.8,0.9394351905299696,19.099853097859434,0.039926832373315166,0.1763462092078504,0.19963416186657587,0.18369396792484421,0.38332812979142006
4.9,0.941717544843309,19.907217311496506,0.03919273262490956,0.1799063826980097,0.19596366312454785,0.18357794152858137,0.37954160465312925
5.0,0.9438778434131969,20.731962697967198,0.038483437113207605,0.18341719508682708,0.19241718556603807,0.1834171950868271,0.3758343806528652
5.1,0.9459243148899732,21.574091224714273,0.03779780106585377,0.1868794660918105,0.1889890053292689,0.18321516283510836,0.3722041681643773
5.2,0.9478645337641467,22.433604571754152,0.037134742512910754,0.1902940354609482,0.1856737125645538,0.18297503409706561,0.3686487466616194
5.3,0.9497054789669718,23.31050416972571,0.036493238639110845,0.193661757000906,0.18246619319555427,0.18269977075557173,0.365165963951126
5.4,0.9514535867669934,24.204791232278968,0.03587232231895053,0.19698349345087918,0.1793616115947527,0.1823921235656289,0.36175373516038156
5.5,0.9531147985470393,25.116466784922643,0.03527107883327483,0.20026011209979638,0.1763553941663742,0.1820546473634513,0.3584100415298255
5.6,0.9546946039814361,26.045531689913986,0.03468864276554298,0.2034924810480282,0.17344321382771494,0.1816897152214538,0.3551329290491687
5.7,0.9561980800807919,26.991986666801033,0.03412419507388889,0.20668146602775372,0.17062097536944448,0.1812995316032928,0.35192050697273725
5.8,0.9576299265671918,27.95583233836834,0.033576960316893015,0.20982792780422588,0.16788480158446512,0.18088614465881545,0.34877094624328053
5.9,0.9589944977245648,28.937069143899926,0.03304620411542943,0.2129327195810415,0.1652310205771472,0.18045145727206913,0.34568247784921635
6.0,0.9602958316276158,29.93569750514507,0.03253123062639649,0.21599668560524193,0.1626561531319825,0.17999723800436832,0.34265339113635085
6.1,0.9615376762988005,30.951717739333276,0.03203138030836498,0.2190206592709798,0.16015690154182494,0.17952513054998348,0.3396820320918084
6.2,0.9627235136260635,31.9851300938128,0.031546027757119094,0.2220054619083975,0.1577301387855955,0.17903666282935288,0.3367668016149484
6.3,0.9638565810600597,33.0359347562507,0.031074579688148002,0.22495190173709703,0.15537289844074004,0.17853325534690243,0.33390615378764243
6.4,0.9649398913414721,34.10413186240538,0.030616473045672284,0.22786077302490954,0.15308236522836144,0.1780162289257106,0.33109859415407206
6.5,0.9659762504549337,35.18972150403701,0.03017117322975976,0.23073285543055555,0.15085586614879884,0.17748681186965815,0.32834267801845696
6.6,0.9669682739805192,36.29270373471908,0.029738172435510087,0.23356891349874953,0.14869086217755045,0.17694614658996183,0.3256370087675123
