# Rényi α=10.0 (n=9.0) RS entropy density for the sign channel under q₀=0 ansatz
# See §4.3 of notes/notes_hiddenmanifold.typ (eq:sign-renyi-main)
gamma,q1,q1hat,Phi_n,S_prior,s_out,s_prior,s
0.05,0.029410689053653856,0.023959816115505413,-5.508734845810851,-0.01691737885811903,0.612081649534539,0.03759417524026451,0.6496758247748036
0.1,0.05517352530233681,0.039019710685686035,-5.007933058067445,-0.053807820776389625,0.5564370064519383,0.059786467529321805,0.6162234739812601
0.15,0.07837226473089828,0.04986470310405586,-4.632183001188993,-0.1003772303009064,0.5146870001321103,0.07435350392659734,0.5890405040587077
0.2,0.09961890036988658,0.05833731989720563,-4.334586478989222,-0.1521937026090956,0.4816207198876914,0.08455205700505311,0.5661727768927445
0.25,0.11930353761790427,0.06532425628120309,-4.090112893147177,-0.20701522266383454,0.4544569881274641,0.0920067656283709,0.546463753755835
0.3,0.1376950065617673,0.07131054010581744,-3.883902277222965,-0.26358650210190365,0.4315446974692183,0.09762463040811248,0.5291693278773308
0.35,0.15498897402067618,0.07658626751803023,-3.70644857924776,-0.32115431633148045,0.41182761991641775,0.10195375121634301,0.5137813711327608
0.4,0.17133374988144268,0.08133679997322998,-3.5513235196111967,-0.37924376835447476,0.39459150217902184,0.10534549120957631,0.49993699338859815
0.45,0.18684532536257029,0.08568677403270086,-3.413989131501879,-0.4375444172833444,0.379332125722431,0.1080356585884801,0.4873677843109111
0.5,0.20161670567972168,0.08972346779199372,-3.291130015105263,-0.4958478938511396,0.3656811127894737,0.1101884208558088,0.4758695336452825
0.55,0.2157239961003559,0.0935100564826238,-3.1802550175977307,-0.5540116951884015,0.35336166862197005,0.11192155458351546,0.46528322320548554
0.6,0.2292305331658029,0.09709354545232736,-3.0794480099657457,-0.6119371761167883,0.342160889996194,0.11332169928088674,0.45548258927708074
0.65,0.24218978346133563,0.10050973229546264,-2.9872056721961444,-0.6695556515346358,0.33191174135512713,0.11445395752728817,0.4463656988824153
0.7,0.25464743509408794,0.10378642773347609,-2.9023283439911856,-0.726819337662396,0.3224809271101317,0.11536814883530096,0.43784907594543265
0.75,0.2666429430163292,0.10694561330643981,-2.823844468661443,-0.7836952869005664,0.3137604965179381,0.11610300546675058,0.42986350198468865
