# Rényi α=2.0 (n=1.0) RS entropy density for the noiseless sign channel (q₀=0 ansatz)
# See §4.3 of notes/notes_hiddenmanifold.typ (eq:sign-renyi-main)
gamma,q1,q1hat,Phi_n,S_prior,s_out,s_prior,s
0.05,0.03119584951015776,0.031226238292800287,-0.6734787610559314,-0.00048682743738361414,0.6734787610559314,0.009736548747672283,0.6832153098036037
0.1,0.06116000764340314,0.06138963844277296,-0.6549269826195474,-0.0018737799368701985,0.6549269826195474,0.018737799368701985,0.6736647819882494
0.15,0.08994822075039131,0.09068189919777353,-0.6373905631588571,-0.004061794800861274,0.6373905631588571,0.027078632005741825,0.6644691951645989
0.2,0.1176135048506192,0.11926326603944994,-0.6207811340753294,-0.0069647515786433675,0.6207811340753294,0.03482375789321684,0.6556048919685462
0.25,0.14420628455489398,0.14726880601631853,-0.6050211328767776,-0.010507361571436447,0.6050211328767776,0.042029446285745786,0.6470505791625234
0.3,0.16977452450218916,0.1748132343900406,-0.5900421095247735,-0.014623470860067517,0.5900421095247735,0.048744902866891725,0.6387870123916652
0.35,0.19436385436614892,0.20199466917549536,-0.5757833523779263,-0.019254683209899773,0.5757833523779263,0.05501338059971364,0.6307967329776399
0.4,0.21801768751688805,0.22889758145384986,-0.5621907640535013,-0.024349233023777644,0.5621907640535013,0.06087308255944411,0.6230638466129454
0.45,0.24077733340062346,0.2555951353048448,-0.5492159346883289,-0.029861055624314584,0.5492159346883289,0.06635790138736573,0.6155738360756946
0.5,0.26268210438790673,0.28215106023809317,-0.5368153721833245,-0.03574901479860025,0.5368153721833245,0.0714980295972005,0.6083134017805251
0.55,0.28376941715438025,0.30862116153159835,-0.5249498586322412,-0.04197625665008657,0.5249498586322412,0.07632046663652103,0.6012703252687622
0.6,0.30407488866827337,0.3350545474135386,-0.5135839089930914,-0.04850966564121223,0.5135839089930914,0.08084944273535372,0.594433351728445
0.65,0.32363242742671955,0.3614946335955144,-0.5026853129187193,-0.05531940406225938,0.5026853129187193,0.08510677548039905,0.5877920883991183
0.7,0.3424743200194589,0.3879799708640296,-0.4922247449220357,-0.06237851997374583,0.4922247449220357,0.08911217139106548,0.5813369163131012
0.75,0.3606313130390947,0.41454493077989957,-0.4821754311034197,-0.06966261164338503,0.4821754311034197,0.09288348219118003,0.5750589132945998
0.8,0.3781326909387267,0.44122027757759275,-0.4725128626852756,-0.07714953906019842,0.4725128626852756,0.09643692382524802,0.5689497865105236
0.85,0.39500634990914374,0.46803364766721567,-0.463214548720332,-0.0848191747774018,0.463214548720332,0.09978726444400213,0.5630018131643342
0.9,0.4112788677172371,0.4950099533085235,-0.45425980184499004,-0.0926531876865668,0.45425980184499004,0.10294798631840756,0.5572077881633976
0.95,0.426975570124618,0.5221717247057143,-0.4456295517116793,-0.10063485476850284,0.4456295517116793,0.10593142607210826,0.5515609777837875
1.0,0.4421205939129024,0.5495394011297363,-0.43730618196663534,-0.10874889654730027,0.43730618196663534,0.10874889654730027,0.5460550785139356
1.1,0.47084656207075354,0.6049652263001628,-0.4215160484063459,-0.12531935439570632,0.4215160484063459,0.11392668581427846,0.5354427342206244
1.2,0.4976282763252683,0.661417729018241,-0.40677253171278493,-0.14226612012521178,0.40677253171278493,0.11855510010434316,0.525327631817128
1.3,0.522621727211849,0.7190064550589074,-0.3929744698596797,-0.15950620403052335,0.3929744698596797,0.1226970800234795,0.5156715498831592
1.4,0.545968897452425,0.7778243701136939,-0.38003374742262724,-0.1769693717938931,0.38003374742262724,0.1264066941384951,0.5064404415611223
1.5,0.5677991158772007,0.8379510428609294,-0.36787317606847847,-0.19459599521568596,0.36787317606847847,0.12973066347712398,0.49760383954560244
1.6,0.5882302747563926,0.8994551027339277,-0.35642478911199865,-0.21233532179665748,0.35642478911199865,0.13270957612291093,0.4891343652349096
1.7,0.6073699248464867,0.9623961609552818,-0.3456284562588317,-0.23014406940490936,0.3456284562588317,0.13537886435582905,0.4810073206146608
1.8,0.6253162601461171,1.0268263272293505,-0.3354307490321626,-0.24798527537803597,0.3354307490321626,0.1377695974322422,0.4732003464644048
1.9,0.6421590040679319,1.0927914202763902,-0.3257840039960759,-0.2658273473673313,0.3257840039960759,0.1399091301933323,0.46569313418940816
2.0,0.6579802068216254,1.1603319421617502,-0.3166455438186304,-0.2836432750731718,0.3166455438186304,0.1418216375365859,0.4584671813552163
2.1,0.6728549635712581,1.2294838709815685,-0.30797702497772406,-0.3014099720590623,0.30797702497772406,0.143528558123363,0.451505583101087
2.2,0.6868520609492801,1.3002793091695721,-0.2997438883857787,-0.31910772261561493,0.2997438883857787,0.1450489648252795,0.4447928532110582
2.3,0.7000345597326021,1.3727470193139748,-0.2919148937786157,-0.3367197149802655,0.2919148937786157,0.14639987607837632,0.438314769856992
2.4,0.7124603199122611,1.4469128688407558,-0.2844617231262702,-0.35423164527008694,0.2844617231262702,0.14759651886253622,0.43205824198880644
2.5,0.7241824744942865,1.5228002037313393,-0.2773586408862334,-0.3716313805357412,0.2773586408862334,0.14865255221429646,0.4260111931005299
2.6,0.7352498567669834,1.6004301621211687,-0.2705822018510661,-0.38890867039701776,0.2705822018510661,0.14958025784500684,0.4201624596960729
2.7,0.745707386040903,1.6798219398318532,-0.26411099868900584,-0.40605489962090985,0.26411099868900584,0.15039070356329992,0.41450170225230576
2.8,0.7555964163671167,1.7609930186941312,-0.2579254427068879,-0.42306287561909706,0.2579254427068879,0.15109388414967753,0.4090193268565654
2.9,0.7649550513033979,1.843959359091443,-0.25200757312218786,-0.4399266443506155,0.25200757312218786,0.1516988428795226,0.4037064160017104
3.0,0.7738184290603898,1.9287355694364514,-0.24634089001419676,-0.45664133176763166,0.24634089001419676,0.15221377725587723,0.398554667270074
3.1,0.7822189800639573,2.0153350486652712,-0.24091020806454377,-0.4732030054044022,0.24091020806454377,0.1526461307756136,0.3935563388401574
3.2,0.7901866607024055,2.1037701146846817,-0.2357015274964471,-0.4896085549425578,0.2357015274964471,0.1530026734195493,0.3887042009159964
3.3,0.7977491646270904,2.19405211139317,-0.2307019204477241,-0.5058555871655198,0.2307019204477241,0.15328957186833936,0.38399149231606344
3.4,0.8049321148789266,2.2861915079508908,-0.2258994300156801,-0.521942335291461,0.2258994300156801,0.15351245155631205,0.3794118815719921
3.5,0.8117592377087819,2.3801979801430733,-0.22128298094906212,-0.5378675786146824,0.22128298094906212,0.1536764510327664,0.3749594319818285
3.6,0.8182525209345455,2.4760804885165646,-0.2168422997952412,-0.5536305732462604,0.2168422997952412,0.15378627034618345,0.37062857014142464
3.7,0.8244323573320913,2.573847340837043,-0.21256784396906392,-0.5692309902266851,0.21256784396906392,0.15384621357477976,0.3664140575438437
3.8,0.8303176755312746,2.6735062546395865,-0.20845073795653585,-0.5846688623566162,0.20845073795653585,0.15386022693595164,0.3623109648924875
3.9,0.8359260586784861,2.7750644061339815,-0.20448271642183996,-0.5999445363563054,0.20448271642183996,0.15383193239905268,0.35831464882089265
4.0,0.8412738527870927,2.8785284780538807,-0.20065607289049803,-0.6150586314471083,0.20065607289049803,0.15376465786177707,0.3544207307522751
4.1,0.8463762655209499,2.983904703831943,-0.19696361351108344,-0.6300120030354883,0.19696361351108344,0.15366146415499715,0.3506250776660806
4.2,0.8512474559482597,3.0911989004710705,-0.19339861558358046,-0.6448057097347233,0.19339861558358046,0.15352516898445792,0.3469237845680384
4.3,0.8559006169364822,3.200416507668824,-0.1899547897326533,-0.6594409856363612,0.1899547897326533,0.15335836875264214,0.3433131584852954
4.4,0.8603480499594469,3.3115626136694303,-0.18662624598158592,-0.6739192145320732,0.18662624598158592,0.15316345784819843,0.33978970382978435
4.5,0.8646012337916138,3.424641985364035,-0.18340746275039005,-0.6882419080854472,0.18340746275039005,0.15294264624121048,0.33635010899160056
4.6,0.868670887173578,3.5396590915858606,-0.18029325881527145,-0.7024106860351084,0.18029325881527145,0.15269797522502357,0.332991234040295
4.7,0.8725670263788303,3.6566181298273572,-0.177278767638499,-0.7164272594010966,0.177278767638499,0.15243133178746737,0.3297100994259664
4.8,0.8762990176119447,3.775523040955458,-0.17435941423178544,-0.7302934144916777,0.17435941423178544,0.15214446135243287,0.32650387558421834
4.9,0.8798756253369063,3.8963775304926593,-0.17153089381826514,-0.7440109997528883,0.17153089381826514,0.15183897954140577,0.32336987335967093
