gamma,q,qhat,I,s_cond,s_prior,s
0.05,0.03146088934242679,0.03248282802626328,0.6496565605252655,0.6830310911730858,0.00505524894985683,0.6880863401229427
0.1,0.06217455974175044,0.06629651648403838,0.6629651648403837,0.6729529977446551,0.010084426791056658,0.6830374245357118
0.15,0.09213197558184373,0.10148168358790693,0.6765445572527129,0.6629217026378516,0.0150809430669215,0.6780026457047731
0.2,0.12132612985686474,0.13807868198003315,0.6903934099001657,0.6529458220979888,0.020038360035936308,0.6729841821339251
0.25,0.14975206492097706,0.17612752558158956,0.7045101023263582,0.6430337320396009,0.02495043756261056,0.6679841696022115
0.3,0.17740686674795808,0.2156678187606146,0.7188927292020487,0.6331935190769916,0.029811173479209013,0.6630046925562006
0.35,0.20428963528819422,0.2567386883053387,0.7335391094438248,0.623432936997711,0.03461483927328408,0.6580477762709951
0.4,0.23040143270191676,0.29937871836660773,0.7484467959165193,0.6137593691293373,0.03935601068671392,0.6531153798160512
0.45,0.25574521289860247,0.3436258890811491,0.763613086846998,0.6041797964086484,0.04402959343732403,0.6482093898459724
0.5,0.2803257343272736,0.38951751887560054,0.7790350377512011,0.594700771422295,0.048630843800374024,0.6433316152226691
0.55,0.304149459678848,0.4370902113016561,0.7947094750939201,0.5853283979661806,0.053155384497169736,0.6384837824633504
0.6,0.3272244443014638,0.4863798061157081,0.8106330101928468,0.5760683162668913,0.05759921573163143,0.6336675319985227
0.65,0.34956021690387507,0.5374213355555811,0.8268020547008941,0.5669256932204654,0.06195872199486922,0.6288844152153346
0.7,0.3711676540208431,0.5902489851766546,0.8432128359666495,0.5579052177093163,0.06623067454484484,0.6241358922541612
0.75,0.39205885151758824,0.6448960602898756,0.859861413719834,0.5490111002250865,0.07041223029502426,0.6194233305201108
0.8,0.4122469941939137,0.7013949569986903,0.8767436962483628,0.5402470768088878,0.07450092705728185,0.6147480038661697
0.85,0.4317462263343771,0.7597771389636596,0.8938554576043054,0.5316164164699234,0.07849467593092,0.6101110924008434
0.9,0.4505715238334644,0.8200731185521498,0.9111923539468331,0.5231219320708761,0.0823917507995092,0.6055136828703853
0.95,0.4687385702123127,0.8823124435218445,0.92874994054931,0.5147659938438385,0.08619077572008925,0.6009567695639277
1.0,0.4862636369751526,0.9465236880398242,0.9465236880398242,0.5065505454192784,0.08989071026970136,0.5964412556889798
1.1,0.519455179292404,1.0809713411540873,0.9827012192309884,0.49054686918065515,0.09699072560064444,0.5875375947812996
1.2,0.5502839099746465,1.2236251320271765,1.019687610022647,0.4751186408981161,0.10368954016917722,0.5788081810672934
1.3,0.5788903926266313,1.3746786645101514,1.0574451265462703,0.4602680572062656,0.10998912942415817,0.5702571866304238
1.4,0.6054153542464897,1.5343104725544474,1.0959360518246053,0.445992484946714,0.11589508672062107,0.561887571667335
1.5,0.6299975175751102,1.7026845698752466,1.1351230465834978,0.43228517480523865,0.1214160155116016,0.5537011903168403
1.6,0.652771885473443,1.8799511278521717,1.1749694549076073,0.4191359510996899,0.12656294968184795,0.5456989007815378
1.7,0.6738684388203856,2.0662472422439837,1.215439554261167,0.406531858827707,0.1313488171481142,0.5378806759758212
1.8,0.693411200605489,2.2616977594539383,1.2564987552521878,0.39445775499619257,0.13578795673929078,0.5302457117354833
1.9,0.7115176126909,2.4664161282335044,1.2981137517018444,0.38289683789275086,0.13989569247242678,0.5227925303651777
2.0,0.7282981738823339,2.6805052597311847,1.3402526298655923,0.3718311110528996,0.14368796690231014,0.5155190779552098
2.1,0.7438562888287907,2.904058372172167,1.3828849391296032,0.36124178316538164,0.14718103129081675,0.5084228144561984
2.2,0.7582882830772102,3.1371598068486892,1.4259817303857678,0.3511096068117786,0.15039118914512004,0.5015007959568987
2.3,0.7716835453259896,3.3798858104551837,1.4695155697631235,0.34141516029131636,0.15333458868044667,0.49474974897176305
2.4,0.7841247625397049,3.6323052697021616,1.5134605290425673,0.33213907848939994,0.15602705833050168,0.4881661368199016
2.5,0.7956882203719021,3.8944803961994188,1.5577921584797676,0.32326223838438034,0.15848397999314845,0.4817462183775288
2.6,0.8064441466082048,4.166467366379809,1.6024874486076188,0.3147659047133532,0.16072019491063602,0.47548609962398924
2.7,0.8164570788516832,4.448316905296383,1.6475247797394008,0.30663184195722726,0.16274993653170022,0.4693817784889275
2.8,0.8257862430510435,4.74007482344351,1.6928838655155392,0.29884239739909735,0.16458678615685343,0.46342918355595075
2.9,0.8344859320851885,5.041782506512388,1.7385456919008235,0.29138056009471547,0.16624364710102163,0.4576242071957371
3.0,0.8426058763883171,5.353477354657819,1.7844924515526066,0.2842300001280137,0.16773273356894328,0.45196273369695694
3.1,0.8501916016945468,5.675193189757264,1.8307074805668593,0.27737509127839,0.1690655716647861,0.4464406629431761
3.2,0.8572847693457234,6.006960613570788,1.8771751917408712,0.27080092095580915,0.17025300919749312,0.4410539301533023
3.3,0.8639234974283159,6.348807334599764,1.923881010484777,0.2644932895809267,0.17130523258526995,0.43579852216619663
